name,class,subclass,description,hp,hp_backed,hp_cooked,effect_cooked,duration_bonus_cooked,selling_price,food_recipe
Blue Nightshade,Material,Plant,"A plant that grows in quieter areas of Hyrule. At night, it gives off a soft glow. Cook with it to increase your stealth.",,,,Sneaky,2:00,4,
Bright-Eyed Crab,Material,Seafood,"This crab appears in large numbers when it rains. On bite of its delectable meat, and you'll forget all your exhaustion. Replenishes your stamina when cooked into a dish.",1,1.5,2,Energizing,,10,"Frozen Crab, Crab Omelet with Rice, Crab Risotto, Crab Stir-Fry, Blackened Crab, Salt-Grilled Crab, Seafood Skewer, Monster Stew"
Cane Sugar,Material,Ingredient,"When boiled with other ingredients, the cane breaks down into a sweet juice necessary for making cakes and other sweets. It's commonly found in ingredients stores.",,,,,"First 1:20, 0:30",3,"Apple Pie, Carrot Cake, Egg Pudding, Egg Tart, Fried Bananas, Fruit Pie, Fruitcake, Honey Crepe, Monster Cake, Nutcake, Plain Crepe, Pumpkin Pie, Wildberry Crepe"
Chickaloo Tree Nut,Material,Ingredient,"Small birds love this nut. You can eat it raw for a minor effect, but it can also be added as a spice to other recipes.",0.25,0.5,1,,"First 0:40, 0:30",3,"Roasted Tree Nut, Sautéed Nuts, Nutcake"
Chillfin Trout,Material,Seafood,"This blue trout prefers cold bodies of water. Its skin contains enzymes that keep its body cool, and when cooked into a dish, it will temporarily boost your heat resistance.",1,1.5,2,Chilly,2:30,6,"Frozen Trout, Roasted Trout, Fish Skewer, Fish and Mushroom Skewer, Salt-Grilled Fish, Monster Stew"
Chillshroom,Material,Shroom,"Often found at the base of pine trees in cold climates, these mushrooms are cool to the touch and can be used to cook dishes that allow you to stay cool even in arid regions.",0.5,0.75,1,Chilly,2:30,4,"Toasty Chillshroom, Mushroom Skewer, Mushroom Rice Balls, Copious Mushrooms Skewers, Salt-Grilled Mushrooms, Glazed Mushrooms, Meat & Mushroom Skewer, Mushroom Omelet, Mushroom Risotto, Fragrant Mushroom Sauté, Fish and Mushroom Skewer"
Cold Darner,Material,Critter,"This dragonfly prefers the cool shade of trees to the warmth of the sun. Its wings disperse heat from its body, which can be cooked into a heat-resistant elixir.",,,,Chilly,2:30,2,"Chilly Elixir, Dubious Food"
Cool Safflina,Material,Plant,"This medicinal plant grows in high elevations, such as mountains in the Hebra or Gerudo regions. When cooked into a dish, it will temporarily increase your heat resistance.",,,,Chilly,2:30,3,
Courser Bee Honey,Material,Ingredient,Honey straight from the hive is chock-full of nutrients. Cooking this into a meal unlocks the potential of these nutrients and provides a stamina-recovery effect.,2,,4,Energizing,,10,"Energizing Glazed Meat, Energizing Honey Candy, Glazed Seafood, Honeyed Fruits, Energizing Honeyed Apple, Glazed Veggies, Honey Crepe, Glazed Mushrooms"
Diamond,Material,Ore,"The most precious gem one can find in Hyrule, its signature sparkle has charmed Hyruleans for generations. As such, it has sold for a very high price since ancient times.",,,,,,500,
Dinraal's Claw,Material,Monster Part,"This valuable claw was plucked from the red spirit Dinraal. It was extremely hot before it was removed. You could sell it to a store, but it must have some other use.",,,2,Bonus,3:30,180,
Electric Darner,Material,Critter,This rare dragonfly only appears in the rain. Its wings direct electricity away from its body. Cook it with monster parts for an electricity-resistant elixir.,,,,Electro,2:30,2,"Electro Elixir, Dubious Food"
Electric Safflina,Material,Plant,"This medicinal plant grows abundantly in the Gerudo Desert. Its peculiar fibers conduct electricity, which will increase your electricity resistance when cooked into a dish.",,,,Electro,2:30,3,
Energetic Rhino Beetle,Material,Critter,"This valuable beetle can live up to ten years. When cooked with monster parts, its impressive vitality translates into an elixir that will greatly restore your stamina.",,,,Energizing,,4,"Energizing Elixir, Dubious Food"
Endura Carrot,Material,Vegetable,"Highly valued as a medicinal plant, this carrot contains large amounts of nourishing energy. When cooked into a dish, it boosts your stamina beyond its maximum limit.",2,3,4,Enduring,,30,"Roasted Endura Carrot, Carrot Cake, Carrot Stew, Vegetable Curry, Vegetable Risotto, Veggie Cream Soup"
Endura Shroom,Material,Shroom,A rare yellowish-orange mushroom. Cook it before eating to temporarily increase your stamina limit.,1,1.5,2,Enduring,,6,"Toasty Endura Shroom, Mushroom Skewer, Mushroom Rice Balls, Copious Mushrooms Skewers, Salt-Grilled Mushrooms, Glazed Mushrooms, Meat & Mushroom Skewer, Mushroom Omelet, Mushroom Risotto, Fragrant Mushroom Sauté, Fish and Mushroom Skewer"
Fairy,Material,Ingredient,"This fairy will fly from your pouch and heal all your wounds the moment you lose your last heart. It's easily mistaken for a firefly at first, but it glows in the daylight as well as night.",5,,10,,0:30,2,Fairy Tonic
Farosh's Claw,Material,Monster Part,"This claw was plucked from the golden spirit Farosh. Its electricity was expelled before it was removed, so it's safe to handle. A store will buy it, but it must have some other use.",,,2,Bonus,3:30,180,
Fireproof Lizard,Material,Critter,"This rare lizard can only be found in the Eldin region. Its scales have heat-resistant properties, so when cooked with monster parts, it produces a heat-resistant elixir.",,,,Fireproof,2:30,5,"Fireproof Elixir, Dubious Food"
Fleet-Lotus Seeds,Material,Fruit,"The plant that bears these seeds grows near deep water. The roots draw nutrients from the water, which boosts your movement speed when the seeds are cooked into a dish.",0.5,0.75,1,Hasty,1:00,5,"Roasted Lotus Seeds, Fruit and Mushroom Mix, Simmered Fruit, Fruit Pie, Fruitcake, Honeyed Fruits, Copious Simmered Fruit"
Flint,Material,Ore,"Strike it with a metallic weapon to generate a spark. The portable fire starter breaks after one use, but it can create a long-lasting flame if you use it near firewood.",,,,,,5,
Fortified Pumpkin,Material,Vegetable,"An extremely tough pumpkin raised in village fields. When cooked, that toughness manifests itself by considerably upping defense.",0.5,0.75,1,Tough,0:50,5,"Pumpkin Pie, Pumpkin Stew, Tough Meat-Stuffed Pumpkin, Baked Fortified Pumpkin, Vegetable Curry, Vegetable Risotto, Veggie Cream Soup"
Fresh Milk,Material,Ingredient,This fresh milk comes from Hateno cows and white goats kept in the village. It's delicious on its own but can also be used as an ingredient in soups and stews.,0.5,,1,,0:30,3,"Egg Pudding, Hearty Clam Chowder, Honey Crepe, Plain Crepe, Warm Milk, Carrot Stew, Cream of Mushroom Soup, Cream of Vegetable Soup, Creamy Heart Soup, Creamy Meat Soup, Creamy Seafood Soup, Gourmet Meat Stew, Monster Soup, Prime Meat Stew, Pumpkin Stew, Veggie Cream Soup, Wildberry Crepe"
Giant Ancient Core,Material,Monster Part,A giant energy crystal made using lost ancient technology. Cores this large are an extremely rare find. A researcher would probably know how to use this.,,,,,3:10,200,
Goat Butter,Material,Ingredient,Butter made from the milk of a domesticated white goat. In addition to being used in dishes like stews and meunière. It's often used when making cakes and other sweets.,,,,,"First 1:20, 0:30",3,"Apple Pie, Carrot Cake, Carrot Stew, Crab Risotto, Curry Pilaf, Egg Tart, Fish Pie, Fruit Pie, Gourmet Meat Stew, Gourmet Poultry Pilaf, Hearty Clam Chowder, Hearty Salmon Muenière, Hot Buttered Apple, Meat Pie, Monster Cake, Monster Soup, Nutcake, Plain Crepe, Porgy Meunière, Poultry Pilaf, Prime Meat Stew, Prime Poultry Pilaf, Pumpkin Pie, Pumpkin Stew, Salmon Risotto, Seafood Meunière, Vegetable Omelet, Vegetable Risotto, Mushroom Omelet, Mushroom Risotto"
Goron Spice,Material,Ingredient,"Made from several types of spices, this secret Goron seasoning has been handed down for generations. An initial wave of spiciness paves the way for the sweetness.",,,,,0:30,4,"Crab Stir-Fry, Seafood Curry, Spiced Meat Skewer, Curry Pilaf, Curry Rice, Gourmet Meat Curry, Gourmet Poultry Curry, Gourmet Spiced Meat Skewer, Herb Sauté, Meat Curry, Monster Curry, Poultry Curry, Prime Meat Curry, Prime Poultry Curry, Prime Spiced Meat Skewer, Vegetable Curry, Fragrant Mushroom Sauté"
Hearty Bass,Material,Seafood,"This large fish lives near the shoreline. Its sizable body can restore a lot of nutrient. When cooked into a dish, it will temporarily increase your maximum hearts.",2,3,30,Hearty,,18,"Roasted Hearty Bass, Frozen Hearty Bass, Fish Skewer, Fish and Mushroom Skewer, Salt-Grilled Fish, Monster Stew"
Hearty Blueshell Snail,Material,Seafood,"This snail lives on sandy beaches in large numbers. Its flesh contains a high amount of stimulants, so when cooked into a dish, it temporarily increases your maximum hearts.",3,4.5,30,Hearty,,15,"Icy Hearty Blueshell Snail, Seafood Paella, Blueshell Escargot, Hearty Clam Chowder, Seafood Curry, Seafood Fried Rice, Salt-Grilled Fish, Seafood Skewer, Monster Stew"
Hearty Durian,Material,Fruit,This fruit's odor earned it the nickname king of fruits. It offers immense restorative power; dishes cooked with it will temporarily increase your maximum hearts.,3,4.5,30,Hearty,,15,"Roasted Hearty Durian, Fruit and Mushroom Mix, Simmered Fruit, Fruit Pie, Fruitcake, Honeyed Fruits, Copious Simmered Fruit"
Hearty Lizard,Material,Critter,"This rare lizard lives deep in the forests. It feeds on high-nutrient foods, giving it great vitality. When used to make elixirs, they temporarily increase your maximum hearts.",,,,Hearty,,20,"Hearty Elixir, Dubious Food"
Hearty Radish,Material,Vegetable,A rare radish that grows best in sunny plains. Cook it before eating to temporarily increase your maximum hearts.,2,3.75,30,Hearty,,8,"Roasted Radish, Creamy Heart Soup"
Hearty Salmon,Material,Seafood,"This fish makes its home in cold water, giving it extra layers of fat. It temporarily increases your maximum hearts when used in cooking.",4,6,30,Hearty,,10,"Salmon Risotto, Hearty Salmon Muenière, Roasted Hearty Salmon, Frozen Hearty Salmon, Fish Skewer, Fish and Mushroom Skewer, Salt-Grilled Fish, Monster Stew"
Hearty Truffle,Material,Shroom,This rare mushroom has a rich scent. Cook it before eating to temporarily increase your maximum hearts.,2,3,30,Hearty,,6,"Toasted Hearty Truffle, Mushroom Skewer, Mushroom Rice Balls, Copious Mushrooms Skewers, Salt-Grilled Mushrooms, Glazed Mushrooms, Meat & Mushroom Skewer, Mushroom Omelet, Mushroom Risotto, Fragrant Mushroom Sauté, Fish and Mushroom Skewer"
Hightail Lizard,Material,Critter,"A lizard found throughout Hyrule. It's a bit slow to react at times, but if given a chance to escape, it will dart off quickly. Cook it with monster parts for a speed-boosting elixir.",,,,Hasty,1:00,2,"Hasty Elixir, Dubious Food"
Hot-Footed Frog,Material,Critter,A quick frog that can be found hopping around near water. Cook it with monster parts to draw out its speed-boost effect.,,,,Hasty,1:00,2,"Hasty Elixir, Dubious Food"
Hydromelon,Material,Fruit,"This resilient fruit can flourish even in the heat of the desert. The hydrating liquid inside provides a cooling effect that, when cooked, increases your heat resistance.",0.5,0.75,1,Chilly,2:30,4,"Creamy Heart Soup, Roasted Hydromelon, Fruit and Mushroom Mix, Simmered Fruit, Fruit Pie, Fruitcake, Honeyed Fruits, Copious Simmered Fruit"
Hylian Rice,Material,Ingredient,This grain is a favorite among residents of Kakariko Village. It's grown in regions with a lot of water and is quite versatile. Used as an ingredient in things like risotto and rice balls.,1,,2,,"First 1:00, 0:30",3,"Crab Omelet with Rice, Crab Risotto, Curry Pilaf, Curry Rice, Fried Egg and Rice, Meat and Rice Bowl, Monster Curry, Monster Rice Balls, Seafood Fried Rice, Seafood Rice Balls, Gourmet Meat and Rice Bowl, Gourmet Meat Curry, Gourmet Poultry Curry, Gourmet Poultry Pilaf, Meat Curry, Meaty Rice Balls, Poultry Curry, Poultry Pilaf, Prime Meat and Rice Bowl, Prime Meat Curry, Prime Poultry Curry, Prime Poultry Pilaf, Salmon Risotto, Seafood Curry, Seafood Paella, Vegetable Curry, Vegetable Risotto, Veggie Rice Balls, Mushroom Rice Balls, Mushroom Risotto"
Hylian Shroom,Material,Shroom,A common mushroom found near trees around Hyrule. Eat it to restore half a heart.,0.5,1.5,1,,0:30,3,"Toasty Hylian Shroom, Mushroom Skewer, Mushroom Rice Balls, Copious Mushrooms Skewers, Salt-Grilled Mushrooms, Glazed Mushrooms, Meat & Mushroom Skewer, Mushroom Omelet, Mushroom Risotto, Fragrant Mushroom Sauté, Fish and Mushroom Skewer"
Hyrule Bass,Material,Seafood,"An ordinary fish that can be found all over Hyrule. Can be eaten raw, but cooking it amplifies its healing benefits.",1,1.5,2,,0:30,6,"Roasted Bass, Frozen Bass, Fish Skewer, Fish and Mushroom Skewer, Salt-Grilled Fish, Monster Stew"
Hyrule Herb,Material,Plant,This healthy herb grows abundantly in the plains of Hyrule. Cook it before eating to increase the number of hearts it restores.,1,,2,,0:30,3,
Ice Keese Wing,Material,Monster Part,"A rare Ice Keese wing. Its frozen surface gleams attractively, but its usefulness isn't readily apparent.",,,,,1:50,6,
Ironshell Crab,Material,Seafood,"This crab's shell is particularly hard. When cooked into a dish, its fat and meat bolster the body to increase your defense.",1,1.5,2,Tough,0:50,8,"Frozen Crab, Crab Omelet with Rice, Crab Risotto, Crab Stir-Fry, Blackened Crab, Salt-Grilled Crab, Seafood Skewer, Monster Stew"
Ironshroom,Material,Shroom,The cap of this mushroom is very hard. Use it when cooking to prepare a dish that increases your defense.,0.5,0.75,1,Tough,0:50,5,"Toasty Ironshroom, Mushroom Skewer, Mushroom Rice Balls, Copious Mushrooms Skewers, Salt-Grilled Mushrooms, Glazed Mushrooms, Meat & Mushroom Skewer, Mushroom Omelet, Mushroom Risotto, Fragrant Mushroom Sauté, Fish and Mushroom Skewer"
Luminous Stone,Material,Ore,"This mysterious mineral gives off a pale blue glow in the dark, which some believe to be souls of the undead. Apparently, this stone can be used as a base to make special clothing.",,,,,,70,
Mighty Bananas,Material,Fruit,"This fruit grows mainly in tropical forests of the Faron region. When it's used as an ingredient, the resulting dish will temporarily increase your attack power.",0.5,0.75,1,Mighty,0:50,5,"Fried Bananas, Roasted Mighty Bananas, Fruit and Mushroom Mix, Simmered Fruit, Fruit Pie, Fruitcake, Honeyed Fruits, Copious Simmered Fruit"
Mighty Carp,Material,Seafood,This freshwater fish lives alongside its less mighty carp ilk. A compound in its liver promotes muscle growth. Dishes cooked with it will temporarily increase your attack power.,1,1.5,2,Mighty,0:50,10,"Roasted Carp, Fish Skewer, Fish and Mushroom Skewer, Salt-Grilled Fish, Monster Stew"
Mighty Porgy,Material,Seafood,"This ocean-dwelling fish comes with one rude attitude. The compounds in its flesh elevate your competitive spirit when it's cooked into a dish, thus increasing your attack power.",1,1.5,2,Mighty,0:50,10,"Roasted Porgy, Porgy Meunière, Seafood Curry, Seafood Fried Rice, Seafood Paella, Salt-Grilled Fish, Monster Stew"
Mighty Thistle,Material,Plant,This medicinal plant is known for its sharp thorns and for the fruit it bears. The fruit contains a compound that increases attack power when cooked into a dish.,,0.5,,Mighty,0:50,5,Roasted Mighty Thistle
Molduga Guts,Material,Monster Part,"A giant organ obtained from a Molduga. This invaluable ingredient is hard to come by, and its use is shrouded in mystery.",,,,,3:10,110,
Monster Extract,Material,Ingredient,"A result of Kilton's research into monsters, this suspicious spice can be used to punch up dishes while cooking. Apparently it can be used to make a number of monstrous meals.",,,13,,"1:00, 10:00, 30:00",3,"Monster Cake, Monster Curry, Monster Rice Balls, Monster Soup, Monster Stew"
Naydra's Claw,Material,Monster Part,"This valuable claw was plucked from the blue spirit Naydra. It was freezing cold before it was removed. You could sell it, but there must be some other use for it.",,,2,Bonus,3:30,180,
Opal,Material,Ore,A valuable ore that gives off a mesmerizing iridescence similar to the inside of a seashell. It contains the power of water.,,,,,,60,
Palm Fruit,Material,Fruit,Fruit from palm trees that grow near the ocean. It doesn't offer any special effects but will increase your heart recovery when used as an ingredient.,1,1.5,2,,0:30,4,"Baked Palm Fruit, Fruit and Mushroom Mix, Simmered Fruit, Fruit Pie, Fruitcake, Honeyed Fruits, Copious Simmered Fruit"
Raw Bird Thigh,Material,Meat,"A high-quality piece of meat that's hard to come by. You can eat it raw, but cooking it first will recover more hearts.",1.5,2.25,3,,0:30,15,"Frozen Bird Thigh, Prime Poultry Curry, Prime Poultry Pilaf, Roasted Bird Thigh, Spicy Pepper Steak, Meat & Mushroom Skewer, Energizing Glazed Meat, Meat and Rice Bowl, Meat Pie, Meat Skewer, Copious Meat Skewers, Meaty Rice Balls, Tough Meat-Stuffed Pumpkin, Monster Stew"
Raw Bird Drumstick,Material,Meat,This meat is tougher and chewier than a standard steak. Tastes better cooked.,1,1.5,2,,0:30,8,"Frozen Bird Drumstick, Poultry Curry, Poultry Pilaf, Roasted Bird Drumstick, Meat Stew, Salt-Grilled Meat, Spicy Pepper Steak, Meat & Mushroom Skewer, Energizing Glazed Meat, Meat and Rice Bowl, Meat Pie, Meat Skewer, Copious Meat Skewers, Meaty Rice Balls, Tough Meat-Stuffed Pumpkin, Monster Stew"
Raw Gourmet Meat,Material,Meat,"This prized cut of meat is usually from a large animal. Any connoisseur would rank this tender, juicy cut of meat gourmet. Expect an exquisite meal when cooking with this.",3,4.5,6,,0:30,35,"Icy Gourmet Meat, Gourmet Meat and Rice Bowl, Gourmet Meat Curry, Gourmet Spiced Meat Skewer, Seared Gourmet Steak, Spicy Pepper Steak, Gourmet Meat and Seafood Fry, Salt-Grilled Gourmet Meat, Gourmet Meat Stew, Meat & Mushroom Skewer, Energizing Glazed Meat, Meat and Rice Bowl, Meat Pie, Meat Skewer, Copious Meat Skewers, Meaty Rice Balls, Tough Meat-Stuffed Pumpkin, Monster Stew"
Raw Meat,Material,Meat,"Meat obtained from animals in plains and forests. You can eat it raw, but cooking it will make it more delicious and nutritious.",1,1.5,2,,0:30,8,"Icy Meat, Meat Curry, Seared Steak, Meat Stew, Salt-Grilled Meat, Spiced Meat Skewer, Spicy Pepper Steak, Meat & Mushroom Skewer, Energizing Glazed Meat, Meat and Rice Bowl, Meat Pie, Meat Skewer, Copious Meat Skewers, Meaty Rice Balls, Tough Meat-Stuffed Pumpkin, Monster Stew"
Raw Prime Meat,Material,Meat,"A fresh, high-quality piece of animal meat. This stuff isn't easy to come by, so savor it. Cook it to recover more hearts.",1.5,2.25,3,,0:30,15,"Icy Prime Meat, Prime Meat and Rice Bowl, Prime Meat Curry, Prime Spiced Meat Skewer, Seared Prime Steak, Spicy Pepper Steak, Salt-Grilled Prime Meat, Prime Meat and Seafood Fry, Prime Meat Stew, Meat & Mushroom Skewer, Energizing Glazed Meat, Meat and Rice Bowl, Meat Pie, Meat Skewer, Copious Meat Skewers, Meaty Rice Balls, Tough Meat-Stuffed Pumpkin, Monster Stew"
Raw Whole Bird,Material,Meat,"This prized meat can be obtained from certain birds. It gets full points for flavor, nutrition, and volume. It pairs perfectly with other ingredients or can be enjoyed alone.",3,4.5,6,,0:30,35,"Frozen Whole Bird, Gourmet Poultry Curry, Gourmet Poultry Pilaf, Roasted Whole Bird, Spicy Pepper Steak, Meat & Mushroom Skewer, Energizing Glazed Meat, Meat and Rice Bowl, Meat Pie, Meat Skewer, Copious Meat Skewers, Meaty Rice Balls, Tough Meat-Stuffed Pumpkin, Monster Stew"
Razorclaw Crab,Material,Seafood,"This crab is well known for its exceptionally sharp pincers. When cooked, the strength compound in its claws will increase your attack power.",1,1.5,2,Mighty,0:50,8,"Frozen Crab, Crab Omelet with Rice, Crab Risotto, Crab Stir-Fry, Blackened Crab, Salt-Grilled Crab, Seafood Skewer, Monster Stew"
Razorshroom,Material,Shroom,This mushroom is known for the natural slice in its cap. Eating it fosters your competitive spirit. Use it when cooking to prepare a dish that will increase your strength.,0.5,0.75,1,Mighty,0:50,5,"Toasty Razorshroom, Mushroom Skewer, Mushroom Rice Balls, Copious Mushrooms Skewers, Salt-Grilled Mushrooms, Glazed Mushrooms, Meat & Mushroom Skewer, Mushroom Omelet, Mushroom Risotto, Fragrant Mushroom Sauté, Fish and Mushroom Skewer"
Restless Cricket,Material,Critter,A very energetic cricket. Cook it with monster parts to create a stamina-recovery elixir.,,,,Energizing,,2,"Energizing Elixir, Dubious Food"
Rock Salt,Material,Ore,Crystallized salt from the ancient sea commonly used to season meals. Cannot be eaten in this form.,,,,,"First 1:00, 0:30",2,"Salt-Grilled Crab, Salt-Grilled Fish, Salt-Grilled Gourmet Meat, Salt-Grilled Meat, Crab Omelet with Rice, Crab Risotto, Cream of Mushroom Soup, Cream of Vegetable Soup, Creamy Meat Soup, Creamy Seafood Soup, Fish Pie, Gourmet Meat and Rice Bowl, Meat and Rice Bowl, Meat Pie, Monster Rice Balls, Prime Meat and Rice Bowl, Salmon Risotto, Salt-Grilled Greens, Salt-Grilled Prime Meat, Seafood Fried Rice, Vegetable Omelet, Vegetable Risotto, Veggie Cream Soup, Wheat Bread, Salt-Grilled Mushrooms, Mushroom Omelet, Mushroom Risotto"
Ruby,Material,Ore,A precious red gem mined from large ore deposits found throughout Hyrule. Rubies contain the power of fire and have fetched a high price since ancient times.,,,,,,210,
Rugged Rhino Beetle,Material,Critter,"This beetle's hard body resembles armor. When the shell is cooked with monster parts, the resulting elixir boosts your defense.",,,,Tough,0:50,4,"Tough Elixir, Dubious Food"
Rushroom,Material,Shroom,A mushroom that can grow almost anywhere but prefers ceilings and sheer cliffs. Cook it before eating to temporarily increase your movement speed.,0.5,0.75,1,Hasty,1:00,3,"Toasty Rushroom, Mushroom Skewer, Mushroom Rice Balls, Copious Mushrooms Skewers, Salt-Grilled Mushrooms, Glazed Mushrooms, Meat & Mushroom Skewer, Mushroom Omelet, Mushroom Risotto, Fragrant Mushroom Sauté, Fish and Mushroom Skewer"
Sanke Carp,Material,Seafood,This wild armored carp has been bred into a prizewinning fish. Its beautifully colored markings do not occur in nature. It offers no special effects when cooked.,1,1.5,2,,0:30,20,"Frozen Carp, Roasted Carp, Fish Skewer, Fish and Mushroom Skewer, Salt-Grilled Fish, Monster Stew"
Sapphire,Material,Ore,A precious blue gem mined from natural rock formations. Sapphires contain the very essence of ice. They've been known to fetch a high price since ancient times.,,,,,,260,
Silent Princess,Material,Plant,"This lovely flower was said to have been a favorite of the princess of Hyrule. Once feared to have gone extinct, it's recently been spotted growing in the wild.",,,2,Sneaky,2:00,10,
Silent Shroom,Material,Shroom,"A strange mushroom that glows quietly in the forest at night. Cooking it into a dish unlocks the nutrients in its cap, resulting in a meal that will allow you to move stealthily.",0.5,0.75,1,Sneaky,2:00,3,"Toasty Silent Shroom, Mushroom Skewer, Mushroom Rice Balls, Copious Mushrooms Skewers, Salt-Grilled Mushrooms, Glazed Mushrooms, Meat & Mushroom Skewer, Mushroom Omelet, Mushroom Risotto, Fragrant Mushroom Sauté, Fish and Mushroom Skewer"
Sizzlefin Trout,Material,Seafood,"This red trout prefers warm bodies of water. It has a special organ specifically for storing heat. When cooked into a dish, it temporarily boosts your resistance to the cold.",1,1.5,2,Spicy,2:30,6,"Frozen Trout, Roasted Trout, Fish Skewer, Fish and Mushroom Skewer, Salt-Grilled Fish, Monster Stew"
Smotherwing Butterfly,Material,Critter,"This rare butterfly lives in volcanic regions. Its body contains a heat-resistant liquid, which can be turned into a topical elixir that offers resistance to flames.",,,,Fireproof,2:30,2,"Fireproof Elixir, Dubious Food"
Sneaky River Snail,Material,Seafood,"This large, glow-in-the-dark snail lives in fresh water. When cooked into a dish, it heightens your senses so you can move about silently.",1,1.5,2,Sneaky,2:00,6,"Frozen River Snail, Sneaky River Escargot, Salt-Grilled Fish, Seafood Skewer, Monster Stew"
Spicy Pepper,Material,Fruit,This pepper is exploding with spice. Cook with it to create dishes that will raise your body temperature and help you withstand the cold.,0.5,0.75,1,Spicy,2:30,3,"Pepper Seafood, Spicy Pepper Steak, Spicy Sautéed Peppers, Charred Pepper, Fruit and Mushroom Mix, Simmered Fruit, Fruit Pie, Fruitcake, Honeyed Fruits, Copious Simmered Fruit"
Stamella Shroom,Material,Shroom,A green mushroom that grows near trees in the forest. It's chock-full of natural energy. Cook it to release its stamina-restoration properties.,0.5,1.5,1,Energizing,,5,"Toasty Stamella Shroom, Mushroom Skewer, Mushroom Rice Balls, Copious Mushrooms Skewers, Salt-Grilled Mushrooms, Glazed Mushrooms, Meat & Mushroom Skewer, Mushroom Omelet, Mushroom Risotto, Fragrant Mushroom Sauté, Fish and Mushroom Skewer"
Staminoka Bass,Material,Seafood,This Hyrule bass got to be the biggest fish by never getting caught (until now). Its long life results in a cooked dish that will restore a lot of stamina.,1,1.5,2,Energizing,,18,"Roasted Bass, Frozen Bass, Fish Skewer, Fish and Mushroom Skewer, Salt-Grilled Fish, Monster Stew"
Star Fragment,Material,Ingredient,"A mysterious stone fragment that fell from the sky. It looks like it would fetch a good price, but you may be able to use it in certain recipes as well.",,,,Bonus,0:30,300,
Stealthfin Trout,Material,Seafood,Consuming the bioluminescent compound that makes this fish glow in the dark will increase concentration. Dishes cooked with it will suppress noise when consumed.,1,1.5,2,Sneaky,2:00,10,"Frozen Trout, Roasted Trout, Fish Skewer, Fish and Mushroom Skewer, Salt-Grilled Fish, Monster Stew"
Summerwing Butterfly,Material,Critter,A butterfly found in the woods and plains of warm regions. Its wings absorb the warmth of the sun. Cook it with monster parts to create an elixir that makes you feel warm and fuzzy.,,,,Spicy,2:30,2,"Spicy Elixir, Dubious Food"
